vorfall,id,wochentag,dauer,kategorie,jahr,monat,datum,linie,vorfall_text,stoerungsart,meldung,start,ende,linienbezeichnung
Sonstige_Stoerungen,1,Samstag,1622,high,2015,9,19.09.15,11,Sonstige Stoerungen,Geplante Stoerung,19.09. bis 27.09.2015: Von Wabern bei Haltestelle der Linie 11 aussteigen nach Wabern auf dem Perron C unter dem Baldachin einsteigen.,19.09.15 00:01,13.01.16 17:03,Holligen - Neufeld P+R
Verkehrsueberlastung,2,Montag,13,verylow,2015,12,07.12.15,10,Verkehrsueberlastung,Geplante Stoerung,07.12.2015 08:02 Uhr: Auf der Linie 10 ist infolge Verkehrueberlastung mit Verspaetungen und unregelmaessigem Betrieb zu rechnen. Dauer: unbestimmt.,07.12.15 08:03,07.12.15 08:16,Köniz Schliern - Ostermundigen Rüti
Verkehrsueberlastung,3,Montag,97,low,2015,12,07.12.15,10,Verkehrsueberlastung,Geplante Stoerung,07.12.2015 17:27 Uhr: Auf der Linie 10 ist infolge Verkehrueberlastung mit Verspaetungen und unregelmaessigem Betrieb zu rechnen. Dauer: unbestimmt.,07.12.15 17:27,07.12.15 19:04,Köniz Schliern - Ostermundigen Rüti
Fahrzeugpanne,4,Montag,66,low,2014,12,22.12.14,160,Fahrzeugpanne,Geplante Stoerung,22.12.2014 06:37 Uhr: Auf der Linie 160 ist wegen einer Fahrzeugpanne mit Kursausfaellen zu rechnen. Dauer: ca. 1h.,22.12.14 06:37,22.12.14 07:43,Konolfingen - Belp
Fahrzeugpanne,5,Montag,12,verylow,2014,12,22.12.14,19,Fahrzeugpanne,Geplante Stoerung,22.12.2014 07:48 Uhr: Auf der Linie 19 ist wegen einer Fahrzeugpanne mit Kursausfaellen zu rechnen. Dauer: ca. 45 Min.,22.12.14 07:48,22.12.14 08:00,Blinzern - Elfenau
Verkehrsueberlastung,6,Montag,38,low,2014,12,22.12.14,11,Verkehrsueberlastung,Stoerung,Auf der Linie 11 ist wegen Verkehrueberlastung mit Verspaetungen und unregelmaessigem Betrieb zu rechnen.,22.12.14 16:01,22.12.14 16:38,Holligen - Neufeld P+R
Verkehrsueberlastung,7,Montag,38,low,2014,12,22.12.14,11,Verkehrsueberlastung,Stoerung,Auf der Linie 11 ist wegen Verkehrueberlastung mit Verspaetungen und unregelmaessigem Betrieb zu rechnen.,22.12.14 16:01,22.12.14 16:38,Holligen - Neufeld P+R
Fahrzeugpanne,8,Montag,38,low,2014,12,22.12.14,7,Fahrzeugpanne,Stoerung,Auf der Linie 7 ist wegen einer Fahrzeugpanne mit Verspaetungen und unregelmaessigem Betrieb zu rechnen.,22.12.14 17:41,22.12.14 18:19,Bümpliz - Ostring
Fahrzeugpanne,9,Mittwoch,15,verylow,2014,12,24.12.14,160,Fahrzeugpanne,Geplante Stoerung,24.12.2014 15:16 Uhr: Auf der Linie 160 ist wegen einer Fahrzeugpanne die Strecke zwischen Belp Bahnhof und Bern Flughafen nicht bedient. Dauer: unbestimmt.,24.12.14 15:17,24.12.14 15:31,Konolfingen - Belp
Fahrzeugpanne,10,Mittwoch,13,verylow,2014,12,24.12.14,160,Fahrzeugpanne,Stoerung,Auf der Linie 160 faellt wegen einer Fahrzeugpanne der Kurs um 15:34 Uhr ab Bern Flughafen Richtung Belp Bahnhof aus. Die naechste Abfahrt erfolgt um 16:04 Uhr.  ,24.12.14 15:30,24.12.14 15:42,Konolfingen - Belp
Schneefall_Eis,11,Samstag,25,verylow,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Auf der Linie 12 ist wegen Schneefalls die Strecke zwischen Schosshalde und Zentrum Paul Klee nicht bedient.,27.12.14 06:01,27.12.14 06:25,Längasse - Zentrum Paul Klee
Schneefall_Eis,12,Samstag,25,verylow,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Auf der Linie 12 ist wegen Schneefalls die Strecke zwischen Schosshalde und Zentrum Paul Klee nicht bedient.,27.12.14 06:01,27.12.14 06:25,Längasse - Zentrum Paul Klee
Schneefall_Eis,13,Samstag,13,verylow,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Auf der Linie 12 ist wegen Schneefalls die Strecke zwischen Bern Bahnhof und Zentrum Paul Klee nicht bedient.,27.12.14 06:25,27.12.14 06:37,Längasse - Zentrum Paul Klee
Schneefall_Eis,14,Samstag,13,verylow,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Auf der Linie 12 ist wegen Schneefalls die Strecke zwischen Bern Bahnhof und Zentrum Paul Klee nicht bedient.,27.12.14 06:25,27.12.14 06:37,Längasse - Zentrum Paul Klee
Schneefall_Eis,15,Samstag,67,low,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Auf der Linie 12 ist wegen Schneefalls mit unregelmaessigem Betrieb zu rechnen.,27.12.14 06:37,27.12.14 07:43,Längasse - Zentrum Paul Klee
Schneefall_Eis,16,Samstag,67,low,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Auf der Linie 12 ist wegen Schneefalls mit unregelmaessigem Betrieb zu rechnen.,27.12.14 06:37,27.12.14 07:43,Längasse - Zentrum Paul Klee
Schneefall_Eis,17,Samstag,67,low,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Auf der Linie 12 ist wegen Schneefalls mit unregelmaessigem Betrieb zu rechnen.,27.12.14 06:37,27.12.14 07:43,Längasse - Zentrum Paul Klee
Schneefall_Eis,18,Samstag,67,low,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Auf der Linie 12 ist wegen Schneefalls mit unregelmaessigem Betrieb zu rechnen.,27.12.14 06:37,27.12.14 07:43,Längasse - Zentrum Paul Klee
Schneefall_Eis,19,Samstag,81,low,2014,12,27.12.14,11,Schneefall oder Eis,Stoerung,Infolge Schneefalls ist mit unregelmaessigem Betrieb zu rechnen.,27.12.14 08:49,27.12.14 10:09,Holligen - Neufeld P+R
Schneefall_Eis,20,Samstag,81,low,2014,12,27.12.14,17,Schneefall oder Eis,Stoerung,Infolge Schneefalls ist mit unregelmaessigem Betrieb zu rechnen.,27.12.14 08:49,27.12.14 10:09,Bern Bahnhof - Köniz Weiermatt
Schneefall_Eis,21,Samstag,81,low,2014,12,27.12.14,20,Schneefall oder Eis,Stoerung,Infolge Schneefalls ist mit unregelmaessigem Betrieb zu rechnen.,27.12.14 08:49,27.12.14 10:09,Bern Bahnhof - Wankdorf Bahnhof
Schneefall_Eis,22,Samstag,81,low,2014,12,27.12.14,11,Schneefall oder Eis,Stoerung,Infolge Schneefalls ist mit unregelmaessigem Betrieb zu rechnen.,27.12.14 08:49,27.12.14 10:09,Holligen - Neufeld P+R
Schneefall_Eis,23,Samstag,81,low,2014,12,27.12.14,20,Schneefall oder Eis,Stoerung,Infolge Schneefalls ist mit unregelmaessigem Betrieb zu rechnen.,27.12.14 08:49,27.12.14 10:09,Bern Bahnhof - Wankdorf Bahnhof
Schneefall_Eis,24,Samstag,81,low,2014,12,27.12.14,10,Schneefall oder Eis,Stoerung,Infolge Schneefalls ist mit unregelmaessigem Betrieb zu rechnen.,27.12.14 08:49,27.12.14 10:09,Köniz Schliern - Ostermundigen Rüti
Schneefall_Eis,25,Samstag,81,low,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Infolge Schneefalls ist mit unregelmaessigem Betrieb zu rechnen.,27.12.14 08:49,27.12.14 10:09,Längasse - Zentrum Paul Klee
Schneefall_Eis,26,Samstag,81,low,2014,12,27.12.14,19,Schneefall oder Eis,Stoerung,Infolge Schneefalls ist mit unregelmaessigem Betrieb zu rechnen.,27.12.14 08:49,27.12.14 10:09,Blinzern - Elfenau
Schneefall_Eis,27,Samstag,81,low,2014,12,27.12.14,12,Schneefall oder Eis,Stoerung,Infolge Schneefalls ist mit unregelmaessigem Betrieb zu rechnen.,27.12.14 08:49,27.12.14 10:09,Längasse - Zentrum Paul Klee
