year;month;incident;tour,value
2014;Dezember;Fahrzeugpanne;Linie 7,1
2014;Dezember;Schneefall/Eis;Linie 10,3
2014;Dezember;Schneefall/Eis;Linie 11,2
2014;Dezember;Verkehrsüberlastung;Linie 11,2
2014;Dezember;Schneefall/Eis;Linie 12,14
2014;Dezember;Schneefall/Eis;Linie 16,1
2014;Dezember;Schneefall/Eis;Linie 17,1
2014;Dezember;Verkehrsunfall;Linie 17,1
2014;Dezember;Fahrzeugpanne;Linie 19,1
2014;Dezember;Schneefall/Eis;Linie 19,3
2014;Dezember;Schneefall/Eis;Linie 20,10
2014;Dezember;Schneefall/Eis;Linie 21,2
2014;Dezember;Schneefall/Eis;Linie 26,3
2014;Dezember;Fahrzeugpanne;Linie 27,1
2014;Dezember;Schneefall/Eis;Linie 27,1
2014;Dezember;Betriebsstörung;Linie 28,2
2014;Dezember;Schneefall/Eis;Linie 28,3
2014;Dezember;Schneefall/Eis;Linie 29,1
2014;Dezember;Schneefall/Eis;Linie 30,1
2014;Dezember;Betriebsstörung;Linie 31,1
2015;Januar;Fahrzeugpanne;Linie 3,1
2015;März;Fahrzeugpanne;Linie 3,1
2015;März;Unregelm. Betr. u. Uml.;Linie 3,1
2015;April;Verspätungen Allgemein;Linie 3,2
2015;Mai;Kundgebung/Veranstalt.;Linie 3,2
2015;Mai;Blaulichtorganisationen;Linie 3,2
2015;Juni;Fahrzeugpanne;Linie 3,2
2015;Juni;Kundgebung/Veranstalt.;Linie 3,7
2015;Juli;Betriebsstörung;Linie 3,1
2015;Juli;Fahrzeugpanne;Linie 3,3
2015;August;Fahrzeugpanne;Linie 3,1
2015;September;Ersatzfahrten und Kursausfälle;Linie 3,1
2015;September;Kundgebung/Veranstalt.;Linie 3,1
2015;Oktober;Betriebsstörung;Linie 3,1
2015;Oktober;Kundgebung/Veranstalt.;Linie 3,5
2015;November;Sonstige Störungen;Linie 3,1
2015;November;Verkehrsbehinderung;Linie 3,1
2015;Dezember;Sonstige Störungen;Linie 3,1
2015;Dezember;Verkehrsunfall;Linie 3,3
2015;Dezember;Verspätungen Allgemein;Linie 3,1
2015;Januar;Fahrzeugpanne;Linie 6,6
2015;Januar;Verkehrsüberlastung;Linie 6,1
2015;Februar;Betriebsstörung;Linie 6,2
2015;Februar;Kundgebung/Veranstalt.;Linie 6,2
2015;Februar;Verkehrsüberlastung;Linie 6,1
2015;Februar;Verspätungen Allgemein;Linie 6,1
2015;März;Fahrzeugpanne;Linie 6,3
2015;März;Kundgebung/Veranstalt.;Linie 6,2
2015;März;Blaulichtorganisationen;Linie 6,2
2015;März;Unregelm. Betr. u. Uml.;Linie 6,1
2015;März;Verkehrsunfall;Linie 6,2
2015;März;Verspätungen Allgemein;Linie 6,1
2015;April;Fahrzeugpanne;Linie 6,1
2015;April;Kundgebung/Veranstalt.;Linie 6,1
